Date,Open,High,Low,Close,Adj Close,Volume
2015-09-14,51.330002,52.590000,51.299999,52.180000,46.800045,2061100
2015-09-15,52.419998,52.830002,51.970001,52.580002,47.158802,1821800
2015-09-16,52.570000,53.279999,52.450001,53.189999,47.705906,1061900
2015-09-17,52.799999,52.799999,51.090000,51.310001,46.019756,2308200
2015-09-18,50.639999,51.200001,50.119999,50.419998,45.221508,3027000
2015-09-21,50.580002,50.669998,49.049999,49.200001,44.127296,1960600
2015-09-22,49.110001,49.639999,48.470001,49.400002,44.306675,2419800
2015-09-23,49.220001,49.400002,47.860001,47.880001,42.943390,1955200
2015-09-24,47.340000,48.610001,46.759998,48.200001,43.230404,2247100
2015-09-25,48.950001,49.270000,47.959999,48.610001,43.598125,2074000
2015-09-28,48.169998,48.810001,48.169998,48.490002,43.490498,2027300
2015-09-29,48.160000,48.570000,47.730000,48.180000,43.212463,2850300
2015-09-30,48.910000,50.040001,48.680000,50.000000,44.844818,2202100
2015-10-01,49.980000,50.060001,48.730000,49.599998,44.486050,1784600
2015-10-02,49.150002,50.430000,48.849998,50.430000,45.230480,1309000
2015-10-05,50.610001,52.090000,50.529999,51.730000,46.396435,1796200
2015-10-06,51.820000,52.560001,51.150002,52.470001,47.060146,2022900
2015-10-07,53.000000,53.730000,52.290001,52.669998,47.239525,1772200
2015-10-08,52.779999,53.439999,52.400002,53.290001,47.795593,1423900
2015-10-09,53.349998,53.720001,52.810001,53.189999,47.705906,1111700
2015-10-12,53.279999,53.459999,52.709999,52.820000,47.374062,1086200
2015-10-13,52.419998,52.490002,51.540001,51.590000,46.270878,1339000
2015-10-14,51.299999,53.029999,51.160000,52.590000,47.167774,2472500
2015-10-15,52.700001,53.130001,52.080002,52.650002,47.221584,1464300
2015-10-16,52.770000,53.099998,52.119999,52.970001,47.508595,1418700
2015-10-19,52.910000,53.470001,52.639999,53.119999,47.643127,1388600
2015-10-20,52.950001,54.820000,52.889999,53.860001,48.306831,2859700
2015-10-21,64.389999,67.269997,63.790001,63.980000,57.383427,24232400
2015-10-22,63.410000,65.889999,63.410000,64.900002,58.208565,11596500
2015-10-23,65.000000,65.669998,64.970001,65.349998,58.612164,8384500
2015-10-26,65.589996,65.610001,64.870003,65.290001,58.558350,4755100
2015-10-27,65.129997,65.830002,65.059998,65.339996,58.603188,2795700
2015-10-28,65.389999,65.959999,65.010002,65.809998,59.024742,4172000
2015-10-29,65.510002,66.879997,65.250000,66.320000,59.482155,2018100
2015-10-30,66.470001,67.250000,66.080002,67.120003,60.199680,1220900
2015-11-02,67.000000,67.389999,66.500000,66.550003,59.688438,2938400
2015-11-03,66.489998,66.639999,66.169998,66.500000,59.643593,2622900
2015-11-04,66.290001,66.959999,66.290001,66.830002,59.939560,1903100
2015-11-05,67.029999,67.349998,66.430000,67.000000,60.092041,1766500
2015-11-06,66.739998,67.139999,66.440002,66.849998,59.957504,1215000
2015-11-09,66.709999,67.019997,66.449997,66.919998,60.020302,2126800
2015-11-10,66.980003,67.180000,66.480003,66.760002,59.876785,787400
2015-11-11,66.760002,67.419998,66.570000,66.900002,60.002350,1144300
2015-11-12,66.230003,66.379997,65.750000,65.860001,59.532307,2915300
2015-11-13,65.949997,66.379997,65.629997,65.680000,59.369614,1795300
2015-11-16,65.830002,66.379997,65.290001,66.349998,59.975246,2335300
2015-11-17,66.309998,67.089996,66.169998,66.690002,60.282578,1444700
2015-11-18,66.500000,67.150002,66.339996,67.099998,60.653183,1356300
2015-11-19,67.470001,67.470001,66.629997,66.900002,60.472397,1380100
2015-11-20,67.000000,67.489998,66.720001,67.019997,60.580860,840300
2015-11-23,66.919998,67.099998,66.410004,66.660004,60.255470,1709500
2015-11-24,66.440002,66.940002,66.160004,66.459999,60.074669,1996900
2015-11-25,66.610001,66.699997,66.230003,66.370003,59.993324,1184300
2015-11-27,66.400002,66.730003,66.309998,66.540001,60.146992,508200
2015-11-30,66.629997,67.110001,66.449997,66.470001,60.083717,1783100
2015-12-01,66.769997,68.000000,66.769997,67.900002,61.376305,1421900
2015-12-02,67.610001,68.360001,67.610001,67.720001,61.213612,1393100
2015-12-03,67.860001,68.120003,66.610001,66.610001,60.210247,1690900
2015-12-04,66.769997,67.949997,66.769997,67.570000,61.078030,980900
2015-12-07,67.430000,67.949997,67.120003,67.480003,60.996674,1374600
2015-12-08,66.959999,69.050003,66.959999,68.730003,62.126564,1571900
2015-12-09,68.620003,68.809998,67.550003,67.580002,61.087074,1387400
2015-12-10,67.580002,68.989998,67.470001,68.489998,61.909634,1227000
2015-12-11,67.529999,68.290001,67.529999,67.870003,61.349213,858300
2015-12-14,68.099998,68.129997,67.220001,67.629997,61.132259,1024500
2015-12-15,67.989998,69.370003,67.949997,68.879997,62.262161,1556400
2015-12-16,68.959999,69.389999,68.059998,69.080002,62.442947,1715500
2015-12-17,69.250000,69.389999,68.050003,68.050003,61.511917,1267500
2015-12-18,67.720001,68.129997,66.830002,66.860001,60.436230,4793500
2015-12-21,67.379997,68.389999,67.059998,68.370003,61.801159,1564100
2015-12-22,68.349998,69.110001,67.870003,69.080002,62.442947,649400
2015-12-23,69.309998,69.489998,69.139999,69.250000,62.596622,437200
2015-12-24,69.199997,69.699997,69.199997,69.510002,62.831635,370200
2015-12-28,69.279999,69.430000,68.809998,69.400002,62.732201,774400
2015-12-29,69.639999,70.279999,69.599998,69.900002,63.184162,992100
2015-12-30,69.849998,70.199997,69.660004,69.690002,62.994331,696600
2015-12-31,69.489998,69.910004,69.209999,69.349998,62.687000,854100
2016-01-04,68.029999,69.180000,68.000000,68.690002,62.090420,2185300
2016-01-05,68.379997,69.050003,68.370003,68.739998,62.135616,2099800
2016-01-06,67.709999,68.239998,66.089996,66.580002,60.183144,1525300
2016-01-07,65.419998,66.660004,65.410004,65.940002,59.604641,1789600
2016-01-08,66.139999,66.309998,64.699997,65.239998,58.971882,1676700
2016-01-11,65.760002,65.760002,64.830002,65.510002,59.215954,1244400
2016-01-12,65.919998,66.459999,65.150002,65.750000,59.432880,744800
2016-01-13,65.809998,66.300003,64.669998,64.779999,58.556080,1245000
2016-01-14,65.029999,67.139999,64.809998,66.660004,60.255470,2485200
2016-01-15,64.110001,65.180000,63.639999,64.550003,58.348179,1750700
2016-01-19,65.500000,65.500000,64.070000,64.320000,58.140278,921000
2016-01-20,64.209999,65.570000,63.980000,65.059998,58.809174,2970900
2016-01-21,65.300003,65.320000,64.349998,64.629997,58.420486,981100
2016-01-22,65.639999,65.870003,64.669998,65.089996,58.836300,995300
2016-01-25,65.019997,65.260002,64.559998,64.650002,58.438572,1251600
2016-01-26,64.639999,65.309998,64.459999,65.139999,58.881489,1074500
2016-01-27,65.220001,65.400002,64.309998,64.430000,58.239704,1578000
2016-01-28,64.379997,66.339996,64.379997,65.449997,59.161697,1255100
2016-01-29,66.279999,66.989998,66.010002,66.989998,60.553757,2401300
2016-02-01,66.400002,67.610001,66.349998,67.120003,60.671257,2142300
2016-02-02,66.309998,66.779999,65.870003,66.160004,59.803497,3585600
2016-02-03,66.589996,66.989998,65.599998,66.800003,60.382011,1596900
2016-02-04,66.809998,67.110001,66.330002,66.879997,60.454308,1663800
2016-02-05,66.489998,66.949997,65.110001,65.510002,59.215954,1642900
