Date,Open,High,Low,Close,Adj Close,Volume
2015-09-14,74.000000,74.120003,73.050003,73.169998,72.785355,474400
2015-09-15,73.330002,74.029999,72.830002,73.820000,73.431931,801900
2015-09-16,73.699997,74.160004,73.330002,73.779999,73.392151,464400
2015-09-17,73.879997,74.300003,73.320000,73.570000,73.183250,557800
2015-09-18,72.730003,73.489998,72.690002,73.000000,72.616249,1047500
2015-09-21,73.300003,74.489998,73.269997,74.309998,73.919365,486200
2015-09-22,73.510002,74.250000,73.360001,73.790001,73.402100,998400
2015-09-23,73.660004,74.440002,73.529999,74.260002,73.869621,643000
2015-09-24,73.709999,74.059998,73.000000,73.529999,73.143456,591400
2015-09-25,74.029999,74.919998,73.570000,73.779999,73.392151,606800
2015-09-28,73.360001,73.800003,71.699997,71.720001,71.342979,574900
2015-09-29,71.940002,72.480003,71.510002,72.250000,71.870193,1045900
2015-09-30,73.220001,73.930000,72.459999,73.910004,73.521461,943400
2015-10-01,78.010002,78.769997,76.879997,78.160004,77.749130,5101600
2015-10-02,77.239998,79.919998,76.629997,79.879997,79.460075,2883400
2015-10-05,80.099998,82.000000,80.010002,81.279999,80.852722,3072900
2015-10-06,80.959999,81.230003,80.379997,80.820000,80.395142,2732000
2015-10-07,81.000000,81.489998,80.040001,80.940002,80.514511,26526000
2015-10-08,80.809998,81.500000,79.779999,81.410004,80.982048,2390100
2015-10-09,81.300003,81.360001,80.529999,81.129997,80.703506,1499900
2015-10-12,81.059998,81.690002,80.790001,81.459999,81.031769,1036400
2015-10-13,81.279999,81.629997,80.470001,80.589996,80.166344,1050900
2015-10-14,80.500000,80.699997,78.879997,79.029999,78.614548,2186300
2015-10-15,79.309998,79.510002,78.709999,79.470001,79.052246,1851500
2015-10-16,79.629997,79.629997,78.709999,79.529999,79.111916,1249800
2015-10-19,79.220001,80.000000,78.830002,79.610001,79.191498,982500
2015-10-20,79.419998,79.849998,78.900002,79.830002,79.410347,874800
2015-10-21,80.290001,80.290001,79.010002,79.199997,78.783653,1080300
2015-10-22,79.360001,80.040001,79.169998,79.949997,79.529709,1525300
2015-10-23,78.510002,81.180000,78.510002,81.150002,80.723412,1735900
2015-10-26,81.330002,81.800003,80.889999,81.500000,81.071564,1085200
2015-10-27,80.730003,80.889999,79.930000,80.330002,79.907722,1276700
2015-10-28,77.000000,78.000000,71.660004,72.660004,72.278046,7415300
2015-10-29,72.519997,72.790001,69.760002,70.260002,69.890656,3995500
2015-10-30,69.930000,71.779999,69.690002,71.610001,71.233559,2418800
2015-11-02,71.510002,71.760002,69.790001,70.309998,69.940392,2573800
2015-11-03,70.230003,70.480003,69.260002,69.879997,69.512650,1491800
2015-11-04,69.870003,70.029999,68.589996,69.430000,69.065018,1660200
2015-11-05,69.480003,69.540001,68.580002,69.029999,68.667114,1556700
2015-11-06,68.150002,70.129997,68.150002,70.120003,69.751389,1325600
2015-11-09,69.730003,70.449997,69.309998,70.120003,69.751389,1468900
2015-11-10,70.879997,71.519997,70.470001,71.029999,70.656593,2038800
2015-11-11,71.129997,71.410004,70.739998,70.860001,70.487503,887500
2015-11-12,70.650002,72.220001,70.239998,71.930000,71.551872,1577100
